session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,gaze_accuracy
3,0,4,4.8,4.136128632,0,7,12
3,0,5,3.8,9.115807661,0,7,12
3,0,6,4,8.694115978,0,7,12
3,0,7,3.6,9.440488332,0,7,12
3,0,8,4.2,8.664851769,0,7,12
3,0,9,3.8,5.375485702,0,7,12
3,0,10,11.8,2.615292666,1.111111111,9,12
1,1,1,6.4,5.600939325,0.5,10,12
1,1,2,5,6.970657525,0,7,12
1,1,3,6,5.672200306,0,7,12
1,1,4,4.8,7.408721536,0,7,12
1,1,5,3.8,11.19539368,0,7,12
1,1,6,3.2,8.345176162,0,7,12
1,1,7,3,13.64613846,0,7,12
1,1,8,3.8,8.871440188,0,7,12
1,1,9,3.8,7.178141052,0,7,12
1,1,10,4.2,8.776344842,0,7,12
1,1,11,4,8.790707403,0,7,12
1,1,12,4.2,10.79052858,0,7,12
1,1,13,4,7.723663928,0,7,12
1,1,14,3.4,8.603246767,0,6,12
2,1,1,4.2,7.050181175,0,7,12
2,1,2,3.8,7.132791752,0,7,12
2,1,3,3.4,7.432954115,0,7,12
2,1,4,4,6.852052616,0,7,12
2,1,5,3.4,11.40715834,0,7,12
2,1,6,4,7.369941105,0,7,12
3,1,1,6.6,5.436002894,0.125,7,12
3,1,2,6.6,5.517270337,0.125,7,12
3,1,3,3.8,8.669344309,0,7,12
3,1,4,4.2,4.37637197,0,7,12
3,1,5,5,6.206861,0.125,7,12
3,1,6,4.2,7.102953009,0,7,12
3,1,7,5.4,6.351704415,0.125,7,12
3,1,8,4,5.940956627,0,7,12
3,1,9,5,4.805502663,0.125,7,12
3,1,10,5.8,6.042056732,0.125,7,12
3,1,11,2.8,10.5339813,0,5,12
